大陆超清,#genre#
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV4,http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225706/index.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV7,http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV8,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV10,http://39.135.138.59:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV11,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.135.138.59:18890/PLTV/88888910/224/3221225637/index.m3u8
CCTV13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.135.138.59:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV15,http://39.135.138.59:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV17,http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8
纯享4K,http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8
东南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225657/index.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
江苏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225702/index.m3u8
江西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225705/index.m3u8
河北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225732/index.m3u8
浙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8
深圳卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225700/index.m3u8
湖北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225699/index.m3u8
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225704/index.m3u8
北京卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225674/index.m3u8
北京纪实,http://39.135.138.59:18890/PLTV/88888910/224/3221225676/index.m3u8
上海纪实,http://39.135.138.59:18890/PLTV/88888910/224/3221225655/index.m3u8
四川卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225733/index.m3u8
天津卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225698/index.m3u8
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225697/index.m3u8
山西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225730/index.m3u8
广东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225701/index.m3u8
广西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225731/index.m3u8
重庆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225692/index.m3u8
吉林卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225680/index.m3u8
云南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225664/index.m3u8
陕西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225729/index.m3u8
内蒙古卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225667/index.m3u8
青海卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225727/index.m3u8
黑龙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225690/index.m3u8
宁夏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225726/index.m3u8
甘肃卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225724/index.m3u8
西藏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225723/index.m3u8
新疆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225725/index.m3u8
旅游卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225722/index.m3u8
贵州卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225728/index.m3u8
辽宁卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225696/index.m3u8

教育网络,#genre#
CCTV-1,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-2,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV-3,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-4,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV-6,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-7,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8
CCTV-8,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV-9,http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8
CCTV-10,http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8
CCTV-12,http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8
CCTV-14,http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8
CCTV-17,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8
体育赛事,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
中国教育,http://ivi.bupt.edu.cn/hls/cetv1hd.m3u8
中国环球,http://ivi.bupt.edu.cn/hls/cgtnhd.m3u8
北京卫视,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
北京文艺,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京新闻,http://ivi.bupt.edu.cn/hls/btv9hd.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4hd.m3u8
湖南卫视,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jshd.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
浙江卫视,http://ivi.bupt.edu.cn/hls/zjhd.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jlhd.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/schd.m3u8
天津卫视,http://ivi.bupt.edu.cn/hls/tjhd.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
广东卫视,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
广西卫视,http://ivi.bupt.edu.cn/hls/gxhd.m3u8
江西卫视,http://ivi.bupt.edu.cn/hls/jxhd.m3u8
河北卫视,http://ivi.bupt.edu.cn/hls/hebhd.m3u8
海南卫视,http://ivi.bupt.edu.cn/hls/lyhd.m3u8
深圳卫视,http://ivi.bupt.edu.cn/hls/szhd.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
重庆卫视,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
安徽卫视,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hnhd.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lnhd.m3u8
龙江卫视,http://ivi.bupt.edu.cn/hls/hljhd.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gzhd.m3u8
东南卫视,http://ivi.bupt.edu.cn/hls/dnhd.m3u8
高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
环球纪录,http://ivi.bupt.edu.cn/hls/cgtndochd.m3u8
冬奥纪实,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
纪实人文,http://ivi.bupt.edu.cn/hls/docuchina.m3u8
金鹰纪实,http://ivi.bupt.edu.cn/hls/gedocu.m3u8
